cf,cm,mode,rload,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
560p,470p,0,10k,2.611k,4.7n,817948,55.8628,81.229
560p,470p,10,100k,1m,1f,769532,93.2793,70.4452
560p,470p,10,100k,1m,470p,782839,90.7649,70.4452
560p,470p,10,100k,1m,1n,785672,88.3863,70.4452
560p,470p,10,100k,1m,1.5n,777097,86.8821,70.4452
560p,470p,10,100k,1m,2.2n,754475,85.9296,70.4452
560p,470p,10,100k,1m,2.7n,735717,85.8299,70.4452
560p,470p,10,100k,1m,3.3n,713614,86.0807,70.4452
560p,470p,10,100k,1m,4.7n,669621,87.3364,70.4452
560p,470p,10,100k,2.611k,1f,769243,92.6622,70.4452
560p,470p,10,100k,2.611k,470p,782526,90.1388,70.4452
560p,470p,10,100k,2.611k,1n,785358,87.7591,70.4452
560p,470p,10,100k,2.611k,1.5n,776798,86.2618,70.4452
560p,470p,10,100k,2.611k,2.2n,754216,85.3264,70.4452
560p,470p,10,100k,2.611k,2.7n,735482,85.2408,70.4452
560p,470p,10,100k,2.611k,3.3n,713403,85.5083,70.4452
560p,470p,10,100k,2.611k,4.7n,669448,86.7976,70.4452
560p,470p,10,10k,1m,1f,768074,93.3117,70.2775
560p,470p,10,10k,1m,470p,781177,90.8287,70.2775
560p,470p,10,10k,1m,1n,784044,88.4758,70.2776
560p,470p,10,10k,1m,1.5n,775700,86.9799,70.2776
560p,470p,10,10k,1m,2.2n,753495,86.0207,70.2776
560p,470p,10,10k,1m,2.7n,734990,85.911,70.2777
560p,470p,10,10k,1m,3.3n,713120,86.1493,70.2777
560p,470p,10,10k,1m,4.7n,669447,87.3816,70.2778
560p,470p,10,10k,2.611k,1f,767786,92.6957,70.2775
560p,470p,10,10k,2.611k,470p,780866,90.2039,70.2775
560p,470p,10,10k,2.611k,1n,783731,87.8498,70.2776
560p,470p,10,10k,2.611k,1.5n,775406,86.3606,70.2776
560p,470p,10,10k,2.611k,2.2n,753236,85.4182,70.2776
560p,470p,10,10k,2.611k,2.7n,734755,85.3225,70.2776
560p,470p,10,10k,2.611k,3.3n,712909,85.5773,70.2777
560p,470p,10,10k,2.611k,4.7n,669275,86.8429,70.2778
680p,470p,0,100k,1m,1f,927262,65.9722,81.4173
680p,470p,0,100k,1m,470p,943782,63.1076,81.4173
680p,470p,0,100k,1m,1n,946422,60.134,81.4173
680p,470p,0,100k,1m,1.5n,934944,58.0844,81.4173
680p,470p,0,100k,1m,2.2n,908301,56.5002,81.4173
680p,470p,0,100k,1m,2.7n,888038,56.0238,81.4173
680p,470p,0,100k,1m,3.3n,865648,55.8779,81.4173
680p,470p,0,100k,1m,4.7n,824768,56.3772,81.4173
680p,470p,0,100k,2.611k,1f,926918,65.2215,81.4173
680p,470p,0,100k,2.611k,470p,943406,62.3455,81.4173
680p,470p,0,100k,2.611k,1n,946046,59.3712,81.4173
680p,470p,0,100k,2.611k,1.5n,934589,57.3312,81.4173
680p,470p,0,100k,2.611k,2.2n,907999,55.7674,81.4173
680p,470p,0,100k,2.611k,2.7n,887764,55.3065,81.4173
680p,470p,0,100k,2.611k,3.3n,865400,55.1778,81.4173
680p,470p,0,100k,2.611k,4.7n,824557,55.7086,81.4173
680p,470p,0,10k,1m,1f,926009,65.9616,81.2287
680p,470p,0,10k,1m,470p,942283,63.1313,81.2287
680p,470p,0,10k,1m,1n,944984,60.1894,81.2288
680p,470p,0,10k,1m,1.5n,933776,58.1533,81.2288
680p,470p,0,10k,1m,2.2n,907586,56.5666,81.2288
680p,470p,0,10k,1m,2.7n,887558,56.0834,81.2289
680p,470p,0,10k,1m,3.3n,865362,55.9284,81.2289
680p,470p,0,10k,1m,4.7n,824712,56.4101,81.229
680p,470p,0,10k,2.611k,1f,925667,65.2118,81.2287
680p,470p,0,10k,2.611k,470p,941908,62.3703,81.2287
680p,470p,0,10k,2.611k,1n,944609,59.4277,81.2288
680p,470p,0,10k,2.611k,1.5n,933422,57.4011,81.2288
680p,470p,0,10k,2.611k,2.2n,907284,55.8344,81.2288
680p,470p,0,10k,2.611k,2.7n,887284,55.3664,81.2289
680p,470p,0,10k,2.611k,3.3n,865114,55.2285,81.2289
680p,470p,0,10k,2.611k,4.7n,824501,55.7416,81.229
680p,470p,10,100k,1m,1f,829103,87.7405,70.4452
680p,470p,10,100k,1m,470p,843681,85.0023,70.4452
680p,470p,10,100k,1m,1n,846328,82.415,70.4452
680p,470p,10,100k,1m,1.5n,836449,80.8087,70.4452
680p,470p,10,100k,1m,2.2n,811744,79.8368,70.4452
680p,470p,10,100k,1m,2.7n,791978,79.7632,70.4452
680p,470p,10,100k,1m,3.3n,769239,80.0585,70.4452
680p,470p,10,100k,1m,4.7n,725309,81.4135,70.4452
680p,470p,10,100k,2.611k,1f,828788,87.0755,70.4452
680p,470p,10,100k,2.611k,470p,843340,84.3275,70.4452
680p,470p,10,100k,2.611k,1n,845985,81.7393,70.4452
680p,470p,10,100k,2.611k,1.5n,836124,80.1411,70.4452
680p,470p,10,100k,2.611k,2.2n,811464,79.1878,70.4452
680p,470p,10,100k,2.611k,2.7n,791724,79.1291,70.4452
680p,470p,10,100k,2.611k,3.3n,769010,79.4415,70.4452
680p,470p,10,100k,2.611k,4.7n,725116,80.8301,70.4452
680p,470p,10,10k,1m,1f,827709,87.766,70.2775
680p,470p,10,10k,1m,470p,842070,85.0613,70.2775
680p,470p,10,10k,1m,1n,844763,82.501,70.2776
680p,470p,10,10k,1m,1.5n,835130,80.9032,70.2776
680p,470p,10,10k,1m,2.2n,810864,79.9234,70.2776
680p,470p,10,10k,1m,2.7n,791346,79.8394,70.2776
680p,470p,10,10k,1m,3.3n,768829,80.122,70.2777
680p,470p,10,10k,1m,4.7n,725187,81.454,70.2778
