mode,c124,c137,riso,rsrc,rload,ccable,pm_deg
0,4.465E-10,3.465E-10,46.53,2.611k,10k,2.5n,61.681
0,4.465E-10,3.465E-10,46.53,2.611k,10k,2.7n,61.5915
0,4.465E-10,3.465E-10,46.53,2.611k,10k,2.9n,61.5403
0,4.465E-10,3.465E-10,46.53,2.611k,10k,3.1n,61.5237
0,4.465E-10,3.465E-10,46.53,2.611k,10k,3.3n,61.5353
0,4.465E-10,3.465E-10,46.53,2.611k,10k,3.5n,61.5681
0,4.465E-10,3.465E-10,46.53,2.611k,10k,3.8n,61.6528
0,4.465E-10,3.465E-10,46.53,2.611k,10k,4.2n,61.8108
0,4.465E-10,3.465E-10,46.53,2.611k,10k,4.7n,62.0575
0,4.465E-10,3.465E-10,47.47,2.5k,100k,2n,62.1929
0,4.465E-10,3.465E-10,47.47,2.5k,100k,2.3n,61.8939
0,4.465E-10,3.465E-10,47.47,2.5k,100k,2.5n,61.7677
0,4.465E-10,3.465E-10,47.47,2.5k,100k,2.7n,61.6902
0,4.465E-10,3.465E-10,47.47,2.5k,100k,2.9n,61.6501
0,4.465E-10,3.465E-10,47.47,2.5k,100k,3.1n,61.6439
0,4.465E-10,3.465E-10,47.47,2.5k,100k,3.3n,61.6646
0,4.465E-10,3.465E-10,47.47,2.5k,100k,3.5n,61.7059
0,4.465E-10,3.465E-10,47.47,2.5k,100k,3.8n,61.8016
0,4.465E-10,3.465E-10,47.47,2.5k,100k,4.2n,61.9716
0,4.465E-10,3.465E-10,47.47,2.5k,100k,4.7n,62.2294
0,4.465E-10,3.465E-10,47.47,2.5k,10k,2n,62.2476
0,4.465E-10,3.465E-10,47.47,2.5k,10k,2.3n,61.9456
0,4.465E-10,3.465E-10,47.47,2.5k,10k,2.5n,61.8172
0,4.465E-10,3.465E-10,47.47,2.5k,10k,2.7n,61.7371
0,4.465E-10,3.465E-10,47.47,2.5k,10k,2.9n,61.6947
0,4.465E-10,3.465E-10,47.47,2.5k,10k,3.1n,61.686
0,4.465E-10,3.465E-10,47.47,2.5k,10k,3.3n,61.7043
0,4.465E-10,3.465E-10,47.47,2.5k,10k,3.5n,61.7433
0,4.465E-10,3.465E-10,47.47,2.5k,10k,3.8n,61.8357
0,4.465E-10,3.465E-10,47.47,2.5k,10k,4.2n,62.0016
0,4.465E-10,3.465E-10,47.47,2.5k,10k,4.7n,62.2551
0,4.465E-10,3.465E-10,47.47,2.611k,100k,2n,62.1643
0,4.465E-10,3.465E-10,47.47,2.611k,100k,2.3n,61.8657
0,4.465E-10,3.465E-10,47.47,2.611k,100k,2.5n,61.7398
0,4.465E-10,3.465E-10,47.47,2.611k,100k,2.7n,61.6624
0,4.465E-10,3.465E-10,47.47,2.611k,100k,2.9n,61.6226
0,4.465E-10,3.465E-10,47.47,2.611k,100k,3.1n,61.6166
0,4.465E-10,3.465E-10,47.47,2.611k,100k,3.3n,61.6375
0,4.465E-10,3.465E-10,47.47,2.611k,100k,3.5n,61.679
0,4.465E-10,3.465E-10,47.47,2.611k,100k,3.8n,61.775
0,4.465E-10,3.465E-10,47.47,2.611k,100k,4.2n,61.9452
0,4.465E-10,3.465E-10,47.47,2.611k,100k,4.7n,62.2034
0,4.465E-10,3.465E-10,47.47,2.611k,10k,2n,62.219
0,4.465E-10,3.465E-10,47.47,2.611k,10k,2.3n,61.9174
0,4.465E-10,3.465E-10,47.47,2.611k,10k,2.5n,61.7892
0,4.465E-10,3.465E-10,47.47,2.611k,10k,2.7n,61.7094
0,4.465E-10,3.465E-10,47.47,2.611k,10k,2.9n,61.6671
0,4.465E-10,3.465E-10,47.47,2.611k,10k,3.1n,61.6587
0,4.465E-10,3.465E-10,47.47,2.611k,10k,3.3n,61.6772
0,4.465E-10,3.465E-10,47.47,2.611k,10k,3.5n,61.7164
0,4.465E-10,3.465E-10,47.47,2.611k,10k,3.8n,61.809
0,4.465E-10,3.465E-10,47.47,2.611k,10k,4.2n,61.9753
