col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
4.72411558e-06,0.211851873,4.72411558e-06,0.215711636,4.72411558e-06,0.212464774,4.72411558e-06,0.215062779,4.72411558e-06,0.0858788807,4.72411558e-06,0.281189829,4.72411558e-06,0.105972464,4.72411558e-06,0.0,4.72411558e-06,0.212763855
7.25186325e-06,0.20969773,7.25186325e-06,0.21783767,7.25186325e-06,0.211627902,7.25186325e-06,0.215903333,7.25186325e-06,0.0846632763,7.25186325e-06,0.471415598,7.25186325e-06,0.166238846,7.25186325e-06,0.0,7.25186325e-06,0.211926533
1.22518633e-05,0.205384106,1.22518633e-05,0.22199621,1.22518633e-05,0.209973121,1.22518633e-05,0.217562758,1.22518633e-05,0.0822515319,1.22518633e-05,0.847816763,1.22518633e-05,0.285297449,1.22518633e-05,0.0,1.22518633e-05,0.210271193
1.72518633e-05,0.201014132,1.72518633e-05,0.226080234,1.72518633e-05,0.208320894,1.72518633e-05,0.219216977,1.72518633e-05,0.0798426718,1.72518633e-05,1.22330478,1.72518633e-05,0.404064326,1.72518633e-05,0.0,1.72518633e-05,0.208618137
2.22518633e-05,0.196591451,2.22518633e-05,0.230087432,2.22518633e-05,0.206672613,2.22518633e-05,0.220864064,2.22518633e-05,0.0774378081,2.22518633e-05,1.59760788,2.22518633e-05,0.522416645,2.22518633e-05,0.0,2.22518633e-05,0.206969228
2.72518633e-05,0.192121721,2.72518633e-05,0.234014016,2.72518633e-05,0.205030173,2.72518633e-05,0.222502714,2.72518633e-05,0.0750400309,2.72518633e-05,1.97031062,2.72518633e-05,0.640242815,2.72518633e-05,0.0,2.72518633e-05,0.205325902
3.22518633e-05,0.187610053,3.22518633e-05,0.237857292,3.22518633e-05,0.203394972,3.22518633e-05,0.224131023,3.22518633e-05,0.0726514837,3.22518633e-05,2.34106684,3.22518633e-05,0.757421815,3.22518633e-05,0.0,3.22518633e-05,0.203690005
3.72518633e-05,0.183062109,3.72518633e-05,0.241614428,3.72518633e-05,0.201768893,3.72518633e-05,0.225747712,3.72518633e-05,0.0702747812,3.72518633e-05,2.70950075,3.72518633e-05,0.87384233,3.72518633e-05,0.0,3.72518633e-05,0.202062987
4.22518633e-05,0.178483664,4.22518633e-05,0.245283051,4.22518633e-05,0.200153333,4.22518633e-05,0.227350908,4.22518633e-05,0.0679122787,4.22518633e-05,3.07525335,4.22518633e-05,0.989385582,4.22518633e-05,0.0,4.22518633e-05,0.200446665
4.72518633e-05,0.173880712,4.72518633e-05,0.24886095,4.72518633e-05,0.198550159,4.72518633e-05,0.228939363,4.72518633e-05,0.0655664776,4.72518633e-05,3.43796179,4.72518633e-05,1.10394107,4.72518633e-05,0.0,4.72518633e-05,0.198842499
5.22518633e-05,0.169259474,5.22518633e-05,0.252346218,5.22518633e-05,0.196960757,5.22518633e-05,0.23051124,5.22518633e-05,0.0632397603,5.22518633e-05,3.79726905,5.22518633e-05,1.21739259,5.22518633e-05,0.0,5.22518633e-05,0.197252273
5.72518633e-05,0.164626306,5.72518633e-05,0.25573718,5.72518633e-05,0.195386973,5.72518633e-05,0.232065328,5.72518633e-05,0.060934583,5.72518633e-05,4.15282034,5.72518633e-05,1.32963104,5.72518633e-05,0.0,5.72518633e-05,0.195677445
6.22518633e-05,0.159987792,6.22518633e-05,0.259032407,6.22518633e-05,0.193830174,6.22518633e-05,0.233599832,6.22518633e-05,0.0586533079,6.22518633e-05,4.50426497,6.22518633e-05,1.44054312,6.22518633e-05,0.0,6.22518633e-05,0.19411976
6.72518633e-05,0.155350614,6.72518633e-05,0.262230726,6.72518633e-05,0.192292176,6.72518633e-05,0.235113584,6.72518633e-05,0.0563983509,6.72518633e-05,4.85125624,6.72518633e-05,1.55002167,6.72518633e-05,0.0,6.72518633e-05,0.192580668
7.22518633e-05,0.150721648,7.22518633e-05,0.265331168,7.22518633e-05,0.190774324,7.22518633e-05,0.236604834,7.22518633e-05,0.0541720354,7.22518633e-05,5.19345182,7.22518633e-05,1.65795661,7.22518633e-05,0.0,7.22518633e-05,0.191061869
7.72518633e-05,0.146107847,7.72518633e-05,0.268333027,7.72518633e-05,0.189278395,7.72518633e-05,0.238072461,7.72518633e-05,0.0519767288,7.72518633e-05,5.53051417,7.72518633e-05,1.76424328,7.72518633e-05,0.0,7.72518633e-05,0.189564796
