c124,c137,rsep,rld,ccable,fcross_hz,pm_deg,tdb_20k
560p,330p,47,50k,1n,849318,65.9291,32.2202
560p,330p,47,50k,1.5n,837323,64.5062,32.2194
560p,330p,47,50k,2.2n,815189,63.3413,32.2182
560p,330p,47,50k,2.7n,799039,62.953,32.2173
560p,330p,47,50k,3.3n,781089,62.8056,32.2161
560p,330p,47,50k,4.7n,747664,63.1624,32.2132
560p,330p,56,10k,1f,848441,70.096,32.2126
560p,330p,56,10k,470p,852395,68.0328,32.2119
560p,330p,56,10k,1n,845609,66.1149,32.2111
560p,330p,56,10k,1.5n,831871,64.9079,32.2103
560p,330p,56,10k,2.2n,809103,64.0694,32.2091
560p,330p,56,10k,2.7n,793495,63.8847,32.2082
560p,330p,56,10k,3.3n,776984,63.927,32.2069
560p,330p,56,10k,4.7n,748104,64.5243,32.2038
560p,330p,56,50k,1f,849418,70.0917,32.2217
560p,330p,56,50k,470p,853432,68.0048,32.221
560p,330p,56,50k,1n,846471,66.0701,32.2202
560p,330p,56,50k,1.5n,832515,64.8578,32.2194
560p,330p,56,50k,2.2n,809452,64.0232,32.2182
560p,330p,56,50k,2.7n,793703,63.8439,32.2172
560p,330p,56,50k,3.3n,777082,63.8929,32.216
560p,330p,56,50k,4.7n,748077,64.5028,32.2128
560p,330p,68,10k,1f,848442,70.096,32.2126
560p,330p,68,10k,470p,851430,68.0652,32.2119
560p,330p,68,10k,1n,842217,66.3143,32.2111
560p,330p,68,10k,1.5n,826798,65.3629,32.2103
560p,330p,68,10k,2.2n,803901,64.8831,32.209
560p,330p,68,10k,2.7n,789465,64.8965,32.208
560p,330p,68,10k,3.3n,774986,65.1052,32.2067
560p,330p,68,10k,4.7n,751483,65.8586,32.2034
560p,330p,68,50k,1f,849418,70.0917,32.2217
560p,330p,68,50k,470p,852449,68.0341,32.221
560p,330p,68,50k,1n,842998,66.2672,32.2202
560p,330p,68,50k,1.5n,827307,65.3142,32.2194
560p,330p,68,50k,2.2n,804132,64.8419,32.2181
560p,330p,68,50k,2.7n,789573,64.8621,32.2171
