k,c124,c137,riso,rsrc,rload,ccable,pm_deg
3,4.465E-10,3.135E-10,55.44,2k,100k,2.9n,62.0334
3,4.465E-10,3.135E-10,55.44,2k,100k,3.2n,62.1473
3,4.465E-10,3.135E-10,55.44,2k,100k,3.5n,62.2973
3,4.465E-10,3.135E-10,55.44,2k,100k,3.8n,62.4686
3,4.465E-10,3.135E-10,55.44,2k,100k,4.2n,62.7191
3,4.465E-10,3.135E-10,55.44,2k,100k,4.7n,63.0425
3,4.465E-10,3.135E-10,55.44,2k,10k,2n,62.1628
3,4.465E-10,3.135E-10,55.44,2k,10k,2.3n,62.0344
3,4.465E-10,3.135E-10,55.44,2k,10k,2.6n,62.0139
3,4.465E-10,3.135E-10,55.44,2k,10k,2.9n,62.0712
3,4.465E-10,3.135E-10,55.44,2k,10k,3.2n,62.181
3,4.465E-10,3.135E-10,55.44,2k,10k,3.5n,62.3274
3,4.465E-10,3.135E-10,55.44,2k,10k,3.8n,62.4954
3,4.465E-10,3.135E-10,55.44,2k,10k,4.2n,62.742
3,4.465E-10,3.135E-10,55.44,2k,10k,4.7n,63.0614
3,4.465E-10,3.135E-10,55.44,2.5k,100k,2n,61.979
3,4.465E-10,3.135E-10,55.44,2.5k,100k,2.3n,61.8568
3,4.465E-10,3.135E-10,55.44,2.5k,100k,2.6n,61.8426
3,4.465E-10,3.135E-10,55.44,2.5k,100k,2.9n,61.9058
3,4.465E-10,3.135E-10,55.44,2.5k,100k,3.2n,62.021
3,4.465E-10,3.135E-10,55.44,2.5k,100k,3.5n,62.1722
3,4.465E-10,3.135E-10,55.44,2.5k,100k,3.8n,62.3446
3,4.465E-10,3.135E-10,55.44,2.5k,100k,4.2n,62.5964
3,4.465E-10,3.135E-10,55.44,2.5k,100k,4.7n,62.9211
3,4.465E-10,3.135E-10,55.44,2.5k,10k,2n,62.0304
3,4.465E-10,3.135E-10,55.44,2.5k,10k,2.3n,61.9037
3,4.465E-10,3.135E-10,55.44,2.5k,10k,2.6n,61.8849
3,4.465E-10,3.135E-10,55.44,2.5k,10k,2.9n,61.9436
3,4.465E-10,3.135E-10,55.44,2.5k,10k,3.2n,62.0547
