mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
3db,2.571k,2,2.7n,654758,68.6071,77.7075,10k
3db,2.571k,2,3.3n,662425,66.0928,77.7075,10k
3db,2.571k,2,4.7n,676496,60.0452,77.7074,10k
3db,2.611k,1,1f,615269,78.7546,77.7075,10k
3db,2.611k,1,47p,615941,78.5979,77.7075,10k
3db,2.611k,1,100p,616664,78.4203,77.7075,10k
3db,2.611k,1,220p,618187,78.0146,77.7075,10k
3db,2.611k,1,470p,620627,77.1675,77.7076,10k
3db,2.611k,1,1n,622296,75.438,77.7076,10k
3db,2.611k,1,1.5n,619656,74.0046,77.7076,10k
3db,2.611k,1,2.2n,610891,72.4542,77.7077,10k
3db,2.611k,1,2.7n,602519,71.6778,77.7077,10k
3db,2.611k,1,3.3n,591770,71.0452,77.7077,10k
3db,2.611k,1,4.7n,567843,70.4444,77.7078,10k
3db,2.611k,2,1f,615269,78.7546,77.7075,10k
3db,2.611k,2,47p,615963,78.5964,77.7075,10k
3db,2.611k,2,100p,616748,78.4171,77.7075,10k
3db,2.611k,2,220p,618564,78.007,77.7075,10k
3db,2.611k,2,470p,622333,77.1393,77.7075,10k
3db,2.611k,2,1n,630236,75.2418,77.7075,10k
3db,2.611k,2,1.5n,637712,73.3715,77.7075,10k
3db,2.611k,2,2.2n,647823,70.6358,77.7075,10k
3db,2.611k,2,2.7n,654754,68.5991,77.7075,10k
3db,2.611k,2,3.3n,662421,66.0847,77.7075,10k
3db,2.611k,2,4.7n,676491,60.037,77.7074,10k
10db,1m,1,1f,264289,95.8684,70.4181,100k
10db,1m,1,47p,264340,95.8118,70.4181,100k
10db,1m,1,100p,264395,95.7478,70.4181,100k
10db,1m,1,220p,264508,95.6023,70.4181,100k
10db,1m,1,470p,264689,95.2967,70.4181,100k
10db,1m,1,1n,264836,94.6428,70.4181,100k
10db,1m,1,1.5n,264678,94.0268,70.4181,100k
10db,1m,1,2.2n,263998,93.1833,70.4181,100k
10db,1m,1,2.7n,263214,92.605,70.4181,100k
10db,1m,1,3.3n,262016,91.9475,70.4181,100k
10db,1m,1,4.7n,258350,90.6041,70.4181,100k
10db,1m,2,1f,264289,95.8684,70.4181,100k
10db,1m,2,47p,264341,95.8118,70.4181,100k
10db,1m,2,100p,264400,95.7479,70.4181,100k
10db,1m,2,220p,264532,95.603,70.4181,100k
10db,1m,2,470p,264802,95.3001,70.4181,100k
10db,1m,2,1n,265349,94.6538,70.4181,100k
10db,1m,2,1.5n,265834,94.0391,70.4181,100k
10db,1m,2,2.2n,266459,93.1711,70.4181,100k
10db,1m,2,2.7n,266867,92.5462,70.4181,100k
10db,1m,2,3.3n,267311,91.7916,70.418,100k
10db,1m,2,4.7n,268150,90.0144,70.418,100k
10db,1k,1,1f,264287,95.7853,70.4181,100k
10db,1k,1,47p,264339,95.7287,70.4181,100k
10db,1k,1,100p,264393,95.6647,70.4181,100k
10db,1k,1,220p,264506,95.5191,70.4181,100k
10db,1k,1,470p,264687,95.2134,70.4181,100k
10db,1k,1,1n,264834,94.5596,70.4181,100k
10db,1k,1,1.5n,264677,93.9436,70.4181,100k
10db,1k,1,2.2n,263997,93.1003,70.4181,100k
10db,1k,1,2.7n,263212,92.5223,70.4181,100k
10db,1k,1,3.3n,262014,91.8652,70.4181,100k
10db,1k,1,4.7n,258349,90.5229,70.4181,100k
10db,1k,2,1f,264287,95.7853,70.4181,100k
10db,1k,2,47p,264340,95.7287,70.4181,100k
10db,1k,2,100p,264399,95.6648,70.4181,100k
10db,1k,2,220p,264530,95.5198,70.4181,100k
10db,1k,2,470p,264800,95.2168,70.4181,100k
10db,1k,2,1n,265347,94.5703,70.4181,100k
