mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
3db,1k,2,3.3n,1.02187E+06,48.2751,77.7254,10k
3db,1k,2,4.7n,1.04776E+06,36.08,77.7254,10k
3db,2.5k,1,1f,870363,73.2322,77.7255,10k
3db,2.5k,1,47p,872246,72.9659,77.7255,10k
3db,2.5k,1,100p,874284,72.6634,77.7255,10k
3db,2.5k,1,220p,878465,71.9735,77.7255,10k
3db,2.5k,1,470p,884978,70.5436,77.7255,10k
3db,2.5k,1,1n,887767,67.8156,77.7255,10k
3db,2.5k,1,1.5n,878211,65.9438,77.7256,10k
3db,2.5k,1,2.2n,854396,64.5178,77.7256,10k
3db,2.5k,1,2.7n,835587,64.1165,77.7256,10k
3db,2.5k,1,3.3n,814207,64.0446,77.7257,10k
3db,2.5k,1,4.7n,773906,64.6824,77.7258,10k
3db,2.5k,2,1f,870363,73.2322,77.7255,10k
3db,2.5k,2,47p,872310,72.9632,77.7255,10k
3db,2.5k,2,100p,874531,72.6569,77.7255,10k
3db,2.5k,2,220p,879597,71.9529,77.7255,10k
3db,2.5k,2,470p,890304,70.4387,77.7255,10k
3db,2.5k,2,1n,914214,66.9825,77.7254,10k
3db,2.5k,2,1.5n,937994,63.3895,77.7254,10k
3db,2.5k,2,2.2n,972314,57.7791,77.7254,10k
3db,2.5k,2,2.7n,996190,53.3809,77.7254,10k
3db,2.5k,2,3.3n,1.02138E+06,47.8242,77.7254,10k
3db,2.5k,2,4.7n,1.04727E+06,35.6266,77.7254,10k
3db,2.571k,1,1f,870348,73.2133,77.7255,10k
3db,2.571k,1,47p,872231,72.947,77.7255,10k
3db,2.571k,1,100p,874269,72.6444,77.7255,10k
3db,2.571k,1,220p,878450,71.9545,77.7255,10k
3db,2.571k,1,470p,884962,70.5245,77.7255,10k
3db,2.571k,1,1n,887751,67.7965,77.7255,10k
3db,2.571k,1,1.5n,878196,65.9249,77.7256,10k
3db,2.571k,1,2.2n,854383,64.4994,77.7256,10k
3db,2.571k,1,2.7n,835575,64.0985,77.7256,10k
3db,2.571k,1,3.3n,814196,64.0269,77.7257,10k
3db,2.571k,1,4.7n,773897,64.6656,77.7258,10k
3db,2.571k,2,1f,870348,73.2133,77.7255,10k
3db,2.571k,2,47p,872295,72.9443,77.7255,10k
3db,2.571k,2,100p,874516,72.638,77.7255,10k
3db,2.571k,2,220p,879581,71.9339,77.7255,10k
3db,2.571k,2,470p,890287,70.4194,77.7255,10k
3db,2.571k,2,1n,914195,66.9629,77.7254,10k
3db,2.571k,2,1.5n,937973,63.3695,77.7254,10k
3db,2.571k,2,2.2n,972288,57.7587,77.7254,10k
3db,2.571k,2,2.7n,996161,53.3603,77.7254,10k
3db,2.571k,2,3.3n,1.02134E+06,47.8034,77.7254,10k
3db,2.571k,2,4.7n,1.04723E+06,35.6059,77.7254,10k
3db,2.611k,1,1f,870340,73.2027,77.7255,10k
