cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
x10000_dpamax_i,x10000_dpamax.dat,ldr_v4_td6_BB_dpamax,1000,0,g10a0_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dpamax,rmai_g10t0_dpamax,6.5,3,A_ins;B2
x10000_dpamax_c,x10000_dpamax.dat,ldr_v4_td6_BB_dpamax,1000,0,g10a0_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g0t0_dpamax,rmai_g0t0_dpamax,0.0,3,A_ins;A_rel;B2
x1010012_dpamax_i,x1010012_dpamax.dat,ldr_v4_td6_BB_dpamax,1000,0,g10a10_t0a12,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dpamax,rmai_g10t0_dpamax,6.5,3,A_ins;B2
x1010012_dpamax_c,x1010012_dpamax.dat,ldr_v4_td6_BB_dpamax,1000,0,g10a10_t0a12,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t12_dpamax,rmai_g10t12_dpamax,0.0,3,A_ins;A_rel;B2
x1010120_dpamax_i,x1010120_dpamax.dat,ldr_v4_td6_BB_dpamax,1000,0,g10a10_t12a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t12_dpamax,rmai_g10t12_dpamax,6.5,3,A_ins;B2
x1010120_dpamax_c,x1010120_dpamax.dat,ldr_v4_td6_BB_dpamax,1000,0,g10a10_t12a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dpamax,rmai_g10t0_dpamax,0.0,3,A_ins;A_rel;B2
xm_dpamax,xm_dpamax.dat,ldr_v4_td6_BB_dpamax,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,rsempre_g10t0_dpamax,rmai_g10t0_dpamax,6.5,3,A_ins;A_rel;B2
rmai_g10t0_dpam20,rmai_g10t0_dpam20.dat,rif_dpam20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t0_dpam20,rsempre_g10t0_dpam20.dat,rif_dpam20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g0t0_dpam20,rmai_g0t0_dpam20.dat,rif_dpam20,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g0t0_dpam20,rsempre_g0t0_dpam20.dat,rif_dpam20,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g10t12_dpam20,rmai_g10t12_dpam20.dat,rif_dpam20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t12_dpam20,rsempre_g10t12_dpam20.dat,rif_dpam20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
x01000_dpam20_i,x01000_dpam20.dat,ldr_v4_td6_BB_dpam20,1000,0,g0a10_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g0t0_dpam20,rmai_g0t0_dpam20,6.5,3,A_ins;B2
x01000_dpam20_c,x01000_dpam20.dat,ldr_v4_td6_BB_dpam20,1000,0,g0a10_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dpam20,rmai_g10t0_dpam20,0.0,3,A_ins;A_rel;B2
x10000_dpam20_i,x10000_dpam20.dat,ldr_v4_td6_BB_dpam20,1000,0,g10a0_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dpam20,rmai_g10t0_dpam20,6.5,3,A_ins;B2
x10000_dpam20_c,x10000_dpam20.dat,ldr_v4_td6_BB_dpam20,1000,0,g10a0_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g0t0_dpam20,rmai_g0t0_dpam20,0.0,3,A_ins;A_rel;B2
x1010012_dpam20_i,x1010012_dpam20.dat,ldr_v4_td6_BB_dpam20,1000,0,g10a10_t0a12,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dpam20,rmai_g10t0_dpam20,6.5,3,A_ins;B2
x1010012_dpam20_c,x1010012_dpam20.dat,ldr_v4_td6_BB_dpam20,1000,0,g10a10_t0a12,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t12_dpam20,rmai_g10t12_dpam20,0.0,3,A_ins;A_rel;B2
