var,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
b_tip,1k,1,220p,896066,64.8632,81.399,100k
b_tip,1k,1,470p,902451,63.4387,81.399,100k
b_tip,1k,1,1n,905037,60.6351,81.399,100k
b_tip,1k,1,1.5n,895479,58.6168,81.399,100k
b_tip,1k,1,2.2n,872165,56.9384,81.399,100k
b_tip,1k,1,2.7n,853974,56.3588,81.399,100k
b_tip,1k,1,3.3n,833465,56.0929,81.399,100k
b_tip,1k,1,4.7n,795278,56.3742,81.399,100k
b_tip,2.5k,1,1f,888028,65.8271,81.399,100k
b_tip,2.5k,1,47p,889850,65.569,81.399,100k
b_tip,2.5k,1,100p,891820,65.2743,81.399,100k
b_tip,2.5k,1,220p,895934,64.596,81.399,100k
b_tip,2.5k,1,470p,902316,63.1698,81.399,100k
b_tip,2.5k,1,1n,904902,60.366,81.399,100k
b_tip,2.5k,1,1.5n,895350,58.3507,81.399,100k
b_tip,2.5k,1,2.2n,872052,56.679,81.399,100k
b_tip,2.5k,1,2.7n,853871,56.1045,81.399,100k
b_tip,2.5k,1,3.3n,833371,55.8443,81.399,100k
b_tip,2.5k,1,4.7n,795198,56.1365,81.399,100k
b_tip,2.571k,1,1f,888020,65.8146,81.399,100k
b_tip,2.571k,1,47p,889842,65.5564,81.399,100k
b_tip,2.571k,1,100p,891812,65.2618,81.399,100k
b_tip,2.571k,1,220p,895926,64.5834,81.399,100k
b_tip,2.571k,1,470p,902307,63.1572,81.399,100k
b_tip,2.571k,1,1n,904893,60.3533,81.399,100k
b_tip,2.571k,1,1.5n,895342,58.3382,81.399,100k
b_tip,2.571k,1,2.2n,872044,56.6668,81.399,100k
b_tip,2.571k,1,2.7n,853864,56.0925,81.399,100k
b_tip,2.571k,1,3.3n,833365,55.8327,81.399,100k
b_tip,2.571k,1,4.7n,795193,56.1253,81.399,100k
b_tip,2.611k,1,1f,888015,65.8076,81.399,100k
b_tip,2.611k,1,47p,889837,65.5494,81.399,100k
b_tip,2.611k,1,100p,891807,65.2548,81.399,100k
b_tip,2.611k,1,220p,895921,64.5764,81.399,100k
b_tip,2.611k,1,470p,902302,63.1501,81.399,100k
b_tip,2.611k,1,1n,904888,60.3462,81.399,100k
b_tip,2.611k,1,1.5n,895337,58.3312,81.399,100k
b_tip,2.611k,1,2.2n,872040,56.6599,81.399,100k
b_tip,2.611k,1,2.7n,853860,56.0858,81.399,100k
b_tip,2.611k,1,3.3n,833362,55.8261,81.399,100k
b_tip,2.611k,1,4.7n,795190,56.119,81.399,100k
b_tip,1m,1,1f,887023,66.2579,81.2103,10k
b_tip,1m,1,47p,888821,66.0034,81.2103,10k
b_tip,1m,1,100p,890751,65.7134,81.2103,10k
b_tip,1m,1,220p,894800,65.045,81.2103,10k
b_tip,1m,1,470p,901111,63.6383,81.2103,10k
b_tip,1m,1,1n,903743,60.8652,81.2104,10k
