modo,s,nome,t,target,code,i_meas,err_db,i(vls),i(vlp),v(mir_e2_s),v(ldr_s_a),v(mir_e2_p),v(ldr_p_a)
nocomp,S,d0,60,0.02,3252,0.009024070236838,-6.912550575546454,0.009024070236838,2.58326202835e-08,4.808855046484,4.207657185202,4.899999739151,2.651676719048
nocomp,S,d0.1,60,0.0002,2598,0.0001784015602416,-0.9926269482001565,0.0001784015602416,2.58326238524e-08,4.898198241935,3.668625720448,4.899999739151,2.651681059088
nocomp,S,d0.45,60,4.5e-06,2059,6.033286132981e-06,2.5468281752203192,6.033286132981e-06,2.58326238524e-08,4.899939070029,3.277982399278,4.899999739151,2.651681059088
nocomp,S,d0.75,60,1.9e-07,1610,3.580233804968e-07,5.503155759026837,3.580233804968e-07,2.58326238524e-08,4.899996384484,2.953580912543,4.899999739151,2.651681059088
nocomp,S,riposo,60,1e-08,1192,2.583262464641e-08,8.24337067208759,2.583262464641e-08,2.58326238524e-08,4.899999739151,2.651681062535,4.899999739151,2.651681059088
nocomp,P,riposo,60,1e-08,1192,2.58326238524e-08,8.243370405111879,2.583262464641e-08,2.58326238524e-08,4.899999739151,2.651681062535,4.899999739151,2.651681059088
nocomp,P,d0.75,60,1.414214e-05,2222,1.681793025183e-05,1.5051482959141216,2.583262464641e-08,1.681793025183e-05,4.899999739151,2.651681062535,4.899830153796,3.395813330858
nocomp,P,d1,60,0.02,3252,0.009024070236837,-6.912550575547415,2.583262160417e-08,0.009024070236837,4.899999739151,2.651676724919,4.808855046484,4.207657185202
nocomp,S,cal_2mA,60,0.002,2925,0.001359744184608,-3.3514557115120107,0.001359744184608,2.583262125368e-08,4.88626690045,3.913665559829,4.899999739151,2.651676723279
nocomp,P,cal_2mA,60,0.002,2925,0.001359744184609,-3.351455711505624,2.583262198304e-08,0.001359744184609,4.899999739151,2.651676726521,4.88626690045,3.913665559829
cal,S,d0,60,0.02,3395,0.01821194416752,-0.8134737089061778,0.01821194416752,1.038692381821e-08,4.716046139115,4.380171356748,4.899999895128,2.547045921367
cal,S,d0.1,60,0.0002,2618,0.0002022104385873,0.09547150982676848,0.0002022104385873,1.038692381821e-08,4.8979577816,3.68324508481,4.899999895128,2.547045921367
cal,S,d0.45,60,4.5e-06,2016,4.603506090978e-06,0.19752416670061612,4.603506090978e-06,1.038692381821e-08,4.89995350951,3.246908377403,4.899999895128,2.547045921367
cal,S,d0.75,60,1.9e-07,1514,1.957248608876e-07,0.2578478421421904,1.957248608876e-07,1.038692381821e-08,4.899998023485,2.884231669083,4.899999895128,2.547045921367
cal,S,riposo,60,1e-08,1047,1.038692264139e-08,0.32973794281887675,1.038692264139e-08,1.038692381821e-08,4.899999895128,2.547045908379,4.899999895128,2.547045921367
cal,P,riposo,60,1e-08,1047,1.038692381821e-08,0.32973892691478557,1.038692264139e-08,1.038692381821e-08,4.899999895128,2.547045908379,4.899999895128,2.547045921367
cal,P,d0.75,60,1.414214e-05,2197,1.437129078776e-05,0.13961289472034863,1.038692264139e-08,1.437129078776e-05,4.899999895128,2.547045908379,4.899854863008,3.377735371009
cal,P,d1,60,0.02,3395,0.01821194416752,-0.8134737089061778,1.038692264139e-08,0.01821194416752,4.899999895128,2.547045908379,4.716046139115,4.380171356748
cal,S,cal_2mA,60,0.002,2987,0.001981557476938,-0.08046643382463838,0.001981557476938,1.038692381821e-08,4.879986597791,3.963128835428,4.899999895128,2.547045921367
cal,P,cal_2mA,60,0.002,2987,0.001981557476934,-0.08046643384217145,1.038692264139e-08,0.001981557476934,4.899999895128,2.547045908379,4.879986597791,3.963128835428
dac_reset,S,riposo,15,1e-08,-1,1.971608210302e-09,-14.103587639911808,1.971608210302e-09,1.971607238236e-09,4.899999980107,2.359398829121,4.899999980107,2.359398779746
dac_reset,S,riposo,25,1e-08,-1,2.82676508273e-09,-10.974205637873213,2.82676508273e-09,2.826767053701e-09,4.899999971472,2.396021139011,4.899999971472,2.396021209689
dac_reset,S,riposo,35,1e-08,-1,3.962300974366e-09,-8.041050775132511,3.962300974366e-09,3.962299490758e-09,4.899999960005,2.432564613436,4.899999960005,2.432564574285
dac_reset,S,riposo,45,1e-08,-1,5.440031409316e-09,-5.287971855840667,5.440031409316e-09,5.44003176835e-09,4.899999945083,2.468966408191,4.899999945083,2.468966415396
dac_reset,S,riposo,60,1e-08,-1,8.449498147283e-09,-1.463381698729588,8.449498147283e-09,8.449500088718e-09,4.899999914693,2.523344365677,4.899999914693,2.523344391777
