col0,col1,col2,col3,col4,col5,col6,col7
0.00023028,0.496166832,0.00023028,1.51250788,0.00023028,1.55914701,0.00023028,2.40540365
0.00023128,0.496545297,0.00023128,1.51379104,0.00023128,1.56042447,0.00023128,2.4066955
0.00023228,0.49690416,0.00023228,1.51501253,0.00023228,1.5616403,0.00023228,2.40792524
0.00023328,0.497243406,0.00023328,1.51617231,0.00023328,1.56279445,0.00023328,2.40909284
0.00023428,0.497563021,0.00023428,1.51727031,0.00023428,1.56388687,0.00023428,2.41019824
0.00023528,0.497862994,0.00023528,1.51830651,0.00023528,1.56491752,0.00023528,2.4112414
0.00023628,0.498143312,0.00023628,1.51928086,0.00023628,1.56588636,0.00023628,2.41222227
0.00023728,0.498403964,0.00023728,1.52019332,0.00023728,1.56679336,0.00023728,2.41314083
0.00023828,0.498644939,0.00023828,1.52104385,0.00023828,1.56763846,0.00023828,2.41399703
0.00023928,0.49886623,0.00023928,1.52183243,0.00023928,1.56842165,0.00023928,2.41479084
0.00024028,0.499067825,0.00024028,1.52255902,0.00024028,1.56914289,0.00024028,2.41552223
0.00024128,0.499249719,0.00024128,1.52322359,0.00024128,1.56980216,0.00024128,2.41619117
0.00024228,0.499411903,0.00024228,1.52382612,0.00024228,1.57039941,0.00024228,2.41679763
