mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
3db,1k,2,100p,298196,83.2115,78.2097,10k
3db,1k,2,220p,298448,83.0304,78.2097,10k
3db,1k,2,470p,298967,82.6518,78.2097,10k
3db,1k,2,1n,300034,81.8432,78.2097,10k
3db,1k,2,1.5n,300997,81.0734,78.2097,10k
3db,1k,2,2.2n,302276,79.9847,78.2096,10k
3db,1k,2,2.7n,303151,79.199,78.2096,10k
3db,1k,2,3.3n,304129,78.2501,78.2096,10k
3db,1k,2,4.7n,306088,76.0172,78.2095,10k
3db,2.5k,1,1f,297974,83.2223,78.2097,10k
3db,2.5k,1,47p,298071,83.1522,78.2097,10k
3db,2.5k,1,100p,298176,83.0732,78.2097,10k
3db,2.5k,1,220p,298396,82.8942,78.2097,10k
3db,2.5k,1,470p,298771,82.5217,78.2098,10k
3db,2.5k,1,1n,299189,81.7421,78.2098,10k
3db,2.5k,1,1.5n,299109,81.0315,78.2098,10k
3db,2.5k,1,2.2n,298260,80.1022,78.2098,10k
3db,2.5k,1,2.7n,297179,79.4985,78.2099,10k
3db,2.5k,1,3.3n,295444,78.8497,78.2099,10k
3db,2.5k,1,4.7n,290217,77.6586,78.2099,10k
3db,2.5k,2,1f,297974,83.2223,78.2097,10k
3db,2.5k,2,47p,298074,83.1515,78.2097,10k
3db,2.5k,2,100p,298186,83.0716,78.2097,10k
3db,2.5k,2,220p,298438,82.8905,78.2097,10k
3db,2.5k,2,470p,298957,82.5116,78.2097,10k
3db,2.5k,2,1n,300024,81.7025,78.2097,10k
3db,2.5k,2,1.5n,300987,80.9322,78.2097,10k
3db,2.5k,2,2.2n,302266,79.843,78.2096,10k
3db,2.5k,2,2.7n,303140,79.057,78.2096,10k
3db,2.5k,2,3.3n,304118,78.1076,78.2096,10k
3db,2.5k,2,4.7n,306077,75.8739,78.2095,10k
3db,2.571k,1,1f,297973,83.2157,78.2097,10k
3db,2.571k,1,47p,298070,83.1456,78.2097,10k
3db,2.571k,1,100p,298175,83.0666,78.2097,10k
3db,2.571k,1,220p,298395,82.8876,78.2097,10k
3db,2.571k,1,470p,298770,82.5151,78.2098,10k
3db,2.571k,1,1n,299188,81.7354,78.2098,10k
3db,2.571k,1,1.5n,299108,81.0249,78.2098,10k
3db,2.571k,1,2.2n,298259,80.0956,78.2098,10k
3db,2.571k,1,2.7n,297178,79.4919,78.2099,10k
3db,2.571k,1,3.3n,295444,78.8432,78.2099,10k
3db,2.571k,1,4.7n,290217,77.6522,78.2099,10k
3db,2.571k,2,1f,297973,83.2157,78.2097,10k
3db,2.571k,2,47p,298073,83.1449,78.2097,10k
3db,2.571k,2,100p,298185,83.065,78.2097,10k
3db,2.571k,2,220p,298438,82.8838,78.2097,10k
3db,2.571k,2,470p,298957,82.505,78.2097,10k
3db,2.571k,2,1n,300024,81.6958,78.2097,10k
3db,2.571k,2,1.5n,300986,80.9256,78.2097,10k
3db,2.571k,2,2.2n,302265,79.8364,78.2096,10k
3db,2.571k,2,2.7n,303139,79.0503,78.2096,10k
3db,2.571k,2,3.3n,304117,78.1009,78.2096,10k
3db,2.571k,2,4.7n,306076,75.8671,78.2095,10k
3db,2.611k,1,1f,297973,83.212,78.2097,10k
3db,2.611k,1,47p,298070,83.1419,78.2097,10k
3db,2.611k,1,100p,298175,83.0629,78.2097,10k
3db,2.611k,1,220p,298395,82.8838,78.2097,10k
3db,2.611k,1,470p,298770,82.5114,78.2098,10k
3db,2.611k,1,1n,299188,81.7317,78.2098,10k
3db,2.611k,1,1.5n,299108,81.0212,78.2098,10k
3db,2.611k,1,2.2n,298259,80.0919,78.2098,10k
3db,2.611k,1,2.7n,297178,79.4882,78.2099,10k
3db,2.611k,1,3.3n,295443,78.8395,78.2099,10k
3db,2.611k,1,4.7n,290216,77.6486,78.2099,10k
3db,2.611k,2,1f,297973,83.212,78.2097,10k
3db,2.611k,2,47p,298073,83.1412,78.2097,10k
3db,2.611k,2,100p,298185,83.0613,78.2097,10k
3db,2.611k,2,220p,298437,82.8801,78.2097,10k
3db,2.611k,2,470p,298956,82.5012,78.2097,10k
3db,2.611k,2,1n,300023,81.6921,78.2097,10k
3db,2.611k,2,1.5n,300986,80.9218,78.2097,10k
3db,2.611k,2,2.2n,302265,79.8326,78.2096,10k
3db,2.611k,2,2.7n,303139,79.0465,78.2096,10k
3db,2.611k,2,3.3n,304117,78.0971,78.2096,10k
3db,2.611k,2,4.7n,306076,75.8633,78.2095,10k
10db,1m,1,1f,124593,97.7067,70.9207,100k
10db,1m,1,47p,124599,97.6797,70.9207,100k
10db,1m,1,100p,124606,97.6493,70.9207,100k
10db,1m,1,220p,124620,97.5802,70.9207,100k
10db,1m,1,470p,124644,97.4359,70.9207,100k
10db,1m,1,1n,124669,97.1284,70.9207,100k
10db,1m,1,1.5n,124662,96.8372,70.9207,100k
10db,1m,1,2.2n,124602,96.4297,70.9206,100k
10db,1m,1,2.7n,124524,96.14,70.9206,100k
10db,1m,1,3.3n,124392,95.7954,70.9206,100k
10db,1m,1,4.7n,123937,95.0123,70.9206,100k
10db,1m,2,1f,124593,97.7067,70.9207,100k
10db,1m,2,47p,124599,97.6797,70.9207,100k
10db,1m,2,100p,124606,97.6492,70.9207,100k
10db,1m,2,220p,124622,97.5803,70.9207,100k
10db,1m,2,470p,124655,97.4364,70.9207,100k
10db,1m,2,1n,124722,97.1308,70.9207,100k
10db,1m,2,1.5n,124782,96.8417,70.9206,100k
10db,1m,2,2.2n,124859,96.436,70.9206,100k
10db,1m,2,2.7n,124910,96.1455,70.9206,100k
10db,1m,2,3.3n,124966,95.7961,70.9206,100k
10db,1m,2,4.7n,125077,94.9781,70.9205,100k
