cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
gm3x0_20_c,1,ldr_v4_td6_BB,3a0,20,3.818,100k,B2,MAINJACK,7.333e-08,8.026948,0.0001,regge,sotto
gm3x10_20_i,1,ldr_v4_td6_BB,3a10,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm3x10_20_i,1,ldr_v4_td6_BB,3a10,20,3.818,100k,B2,MAINJACK,3.831e-06,7.526354,0.0001,regge,sotto
gm3x10_20_c,1,ldr_v4_td6_BB,3a10,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm3x10_20_c,1,ldr_v4_td6_BB,3a10,20,3.818,100k,B2,MAINJACK,2.887e-07,8.027010,0.0001,regge,sotto
gm10x3_20_i,1,ldr_v4_td6_BB,10a3,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm10x3_20_i,1,ldr_v4_td6_BB,10a3,20,3.818,100k,B2,MAINJACK,8.5e-06,7.526354,0.0001,regge,sotto
gm10x3_20_c,1,ldr_v4_td6_BB,10a3,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm10x3_20_c,1,ldr_v4_td6_BB,10a3,20,3.818,100k,B2,MAINJACK,3.016e-07,8.026958,0.0001,regge,sotto
gm0x10_20_i,1,ldr_v4_td6_BB,0a10,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm0x10_20_i,1,ldr_v4_td6_BB,0a10,20,3.818,100k,B2,MAINJACK,2.698e-06,7.526354,0.0001,regge,sotto
gm0x10_20_c,1,ldr_v4_td6_BB,0a10,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm0x10_20_c,1,ldr_v4_td6_BB,0a10,20,3.818,100k,B2,MAINJACK,3.627e-07,8.027062,0.0001,regge,sotto
gm10x0_20_i,1,ldr_v4_td6_BB,10a0,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm10x0_20_i,1,ldr_v4_td6_BB,10a0,20,3.818,100k,B2,MAINJACK,8.5e-06,7.526354,0.0001,regge,sotto
gm10x0_20_c,1,ldr_v4_td6_BB,10a0,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm10x0_20_c,1,ldr_v4_td6_BB,10a0,20,3.818,100k,B2,MAINJACK,3.706e-07,8.027198,0.0001,regge,sotto
gm0x3_lz_i,1,ldr_v4_td6_BB,0a3,1000,0,100k,A_ins,FIXJACK2,4.144e-09,2.362594,0.0001,regge,sotto
